"","FPKM.SRR945391"
"ENSMUSG00000000001",26.963413
"ENSMUSG00000000003",0
"ENSMUSG00000000028",0
"ENSMUSG00000000031",0.0924975073170732
"ENSMUSG00000000037",0
"ENSMUSG00000000049",3.26267914052698
"ENSMUSG00000000056",7.27489218789014
"ENSMUSG00000000058",11.6925874848576
"ENSMUSG00000000078",10.409597760419
"ENSMUSG00000000085",1.69323794619066
"ENSMUSG00000000088",58.4862905649691
"ENSMUSG00000000093",16.333815
"ENSMUSG00000000094",0
"ENSMUSG00000000103",0
"ENSMUSG00000000120",0
"ENSMUSG00000000125",0
"ENSMUSG00000000126",1.28671990387504
"ENSMUSG00000000127",1.15637566602564
"ENSMUSG00000000131",3.41929066997636
"ENSMUSG00000000134",2.69721153309578
"ENSMUSG00000000142",0.164881187795133
"ENSMUSG00000000148",2.8677095937854
"ENSMUSG00000000149",37.005234
"ENSMUSG00000000154",151.815916818717
"ENSMUSG00000000157",0.746824927844588
"ENSMUSG00000000159",16.7104542493064
"ENSMUSG00000000167",0.332736039104159
"ENSMUSG00000000168",21.7247255
"ENSMUSG00000000171",140.126831
"ENSMUSG00000000182",0
"ENSMUSG00000000183",0
"ENSMUSG00000000184",2.04540507705388
"ENSMUSG00000000194",4.25478348919004
"ENSMUSG00000000197",0.0520346339109752
"ENSMUSG00000000202",0
"ENSMUSG00000000204",0
"ENSMUSG00000000214",0
"ENSMUSG00000000215",0
"ENSMUSG00000000216",10.334272
"ENSMUSG00000000223",0.047175422074126
"ENSMUSG00000000244",0.105843742059673
"ENSMUSG00000000247",0
"ENSMUSG00000000248",0
"ENSMUSG00000000253",17.509057485579
"ENSMUSG00000000263",0
"ENSMUSG00000000266",4.02209616576288
"ENSMUSG00000000275",17.887276106187
"ENSMUSG00000000276",0.801472232144986
"ENSMUSG00000000278",51.04726
"ENSMUSG00000000282",9.621194529933
"ENSMUSG00000000290",2.61408170052425
"ENSMUSG00000000295",1.11139441961231
"ENSMUSG00000000296",8.09250334315949
"ENSMUSG00000000301",0
"ENSMUSG00000000303",31.2266535470048
"ENSMUSG00000000305",0.235003306049332
"ENSMUSG00000000308",13.7951237772436
"ENSMUSG00000000317",0.479383927937618
"ENSMUSG00000000318",0.253275261814419
"ENSMUSG00000000320",1.14986100758874
"ENSMUSG00000000325",2.19441532479523
"ENSMUSG00000000326",21.0729991816746
"ENSMUSG00000000339",13.4298733744681
"ENSMUSG00000000340",36.8020250657109
"ENSMUSG00000000346",85.8901593848276
"ENSMUSG00000000355",10.223633060471
"ENSMUSG00000000359",1.52761951298701
"ENSMUSG00000000365",0
"ENSMUSG00000000374",8.43798399077264
"ENSMUSG00000000378",3.60035318466994
"ENSMUSG00000000381",6.93742919940476
"ENSMUSG00000000384",7.47993435876623
"ENSMUSG00000000385",21.6715362904684
"ENSMUSG00000000386",0
"ENSMUSG00000000392",0
"ENSMUSG00000000394",0
"ENSMUSG00000000399",72.7688160880533
"ENSMUSG00000000402",7.841277
"ENSMUSG00000000409",0.508570872311369
"ENSMUSG00000000411",0
"ENSMUSG00000000416",2.45944760188017
"ENSMUSG00000000420",20.3121557874615
"ENSMUSG00000000435",0
"ENSMUSG00000000439",6.75899940185582
"ENSMUSG00000000440",0.385278403318659
"ENSMUSG00000000441",8.90998128400292
"ENSMUSG00000000486",1.9301523286283
"ENSMUSG00000000489",3.49621544051911
"ENSMUSG00000000530",4.80301071676436
"ENSMUSG00000000531",5.274372
"ENSMUSG00000000532",14.461015
"ENSMUSG00000000538",16.2041513449338
"ENSMUSG00000000544",0
"ENSMUSG00000000552",3.38791342266402
"ENSMUSG00000000555",1.71274948307318
"ENSMUSG00000000560",0
"ENSMUSG00000000561",5.59210369097294
"ENSMUSG00000000562",0
"ENSMUSG00000000563",62.6436595507917
"ENSMUSG00000000567",0.269288
"ENSMUSG00000000568",9.15883460919228
"ENSMUSG00000000579",4.76318194678316
"ENSMUSG00000000581",1.82264494643304
"ENSMUSG00000000594",69.820099
"ENSMUSG00000000600",1.11498555562165
"ENSMUSG00000000605",3.65830145154519
"ENSMUSG00000000606",0
"ENSMUSG00000000617",0
"ENSMUSG00000000627",0
"ENSMUSG00000000628",0
"ENSMUSG00000000631",8.75146936128952
"ENSMUSG00000000632",0
"ENSMUSG00000000673",22.9602067013459
"ENSMUSG00000000682",4.77071669587195
"ENSMUSG00000000686",3.14735846919275
"ENSMUSG00000000690",12.6582871496945
"ENSMUSG00000000693",0.654060564414512
"ENSMUSG00000000701",0
"ENSMUSG00000000706",0
"ENSMUSG00000000708",16.8169531368399
"ENSMUSG00000000711",24.7593319659605
"ENSMUSG00000000724",0
"ENSMUSG00000000730",0
"ENSMUSG00000000731",0
"ENSMUSG00000000732",2.88712784415584
"ENSMUSG00000000738",14.8920114426737
"ENSMUSG00000000739",0.567420973070831
"ENSMUSG00000000740",51.7972680759152
"ENSMUSG00000000743",21.7755362521394
"ENSMUSG00000000751",5.83892886733596
"ENSMUSG00000000753",0.860171621873675
"ENSMUSG00000000759",3.0140023269141
"ENSMUSG00000000766",0
"ENSMUSG00000000776",4.23823572985284
"ENSMUSG00000000782",0.804026688
"ENSMUSG00000000787",63.9157713644116
"ENSMUSG00000000791",0
"ENSMUSG00000000792",0
"ENSMUSG00000000794",0.166099416515166
"ENSMUSG00000000804",9.9021831953125
"ENSMUSG00000000805",39.5031763916582
"ENSMUSG00000000811",9.5773
"ENSMUSG00000000817",0
"ENSMUSG00000000823",7.98509816446402
"ENSMUSG00000000826",6.92341198058392
"ENSMUSG00000000827",4.51017982356483
"ENSMUSG00000000838",6.86586459301807
"ENSMUSG00000000861",0.0851090689184061
"ENSMUSG00000000869",0
"ENSMUSG00000000876",62.7920751679512
"ENSMUSG00000000881",5.15108349024641
"ENSMUSG00000000884",0.732273023228253
"ENSMUSG00000000889",0
"ENSMUSG00000000901",1.42392375233981
"ENSMUSG00000000902",3.22147887730139
"ENSMUSG00000000903",0
"ENSMUSG00000000915",10.3888981230832
"ENSMUSG00000000916",2.83459633310169
"ENSMUSG00000000934",12.3299468051884
"ENSMUSG00000000938",11.5155674776758
"ENSMUSG00000000942",1.196464
"ENSMUSG00000000948",0.684895539302147
"ENSMUSG00000000957",2.13302495100671
"ENSMUSG00000000958",53.4247974177979
"ENSMUSG00000000959",15.4733972804577
"ENSMUSG00000000976",2.33853397678766
"ENSMUSG00000000982",0
"ENSMUSG00000000983",0
"ENSMUSG00000001014",0.0941861252252252
"ENSMUSG00000001016",3.54105683508158
"ENSMUSG00000001017",6.95118000384933
"ENSMUSG00000001018",8.20249428122271
"ENSMUSG00000001020",1.91587707534247
"ENSMUSG00000001021",0
"ENSMUSG00000001023",0
"ENSMUSG00000001025",5.73330507973665
"ENSMUSG00000001027",0.0646352861809402
"ENSMUSG00000001029",2.06985326785714
"ENSMUSG00000001034",1.73015830268548
"ENSMUSG00000001036",6.5112427654935
"ENSMUSG00000001039",1.2699694871312
"ENSMUSG00000001052",10.0645265835548
"ENSMUSG00000001053",4.84204209677419
"ENSMUSG00000001054",9.15140159602036
"ENSMUSG00000001056",10.9226577975567
"ENSMUSG00000001062",4.8355408981176
"ENSMUSG00000001065",3.34188744104882
"ENSMUSG00000001076",0
"ENSMUSG00000001082",3.72600824706289
"ENSMUSG00000001089",6.4021683602071
"ENSMUSG00000001095",51.283611
"ENSMUSG00000001098",10.9741424736321
"ENSMUSG00000001100",21.7164709756807
"ENSMUSG00000001103",0
"ENSMUSG00000001105",13.1673151790164
"ENSMUSG00000001119",2.94190726027397
"ENSMUSG00000001120",6.90270279713604
"ENSMUSG00000001123",3.28822802058961
"ENSMUSG00000001127",11.9800167842837
"ENSMUSG00000001128",2.09469725345622
"ENSMUSG00000001131",0
"ENSMUSG00000001134",5.06450712446614
"ENSMUSG00000001138",8.30726597741433
"ENSMUSG00000001143",3.44773721062644
"ENSMUSG00000001150",4.94457187494789
"ENSMUSG00000001151",3.42472027661675
"ENSMUSG00000001155",13.5860437822682
"ENSMUSG00000001156",1.54826701102941
"ENSMUSG00000001157",3.23272600985677
"ENSMUSG00000001158",9.24541579041916
"ENSMUSG00000001166",0.980469886902287
"ENSMUSG00000001168",0
"ENSMUSG00000001173",3.42939900442758
"ENSMUSG00000001175",14.5897439264768
"ENSMUSG00000001211",55.2190040884467
"ENSMUSG00000001225",0
"ENSMUSG00000001227",2.35649778125
"ENSMUSG00000001228",0
"ENSMUSG00000001229",4.04850139287073
"ENSMUSG00000001240",3.86590557952136
"ENSMUSG00000001247",16.4921784258748
"ENSMUSG00000001248",3.267566362092
"ENSMUSG00000001249",60.1103769834187
"ENSMUSG00000001260",0
"ENSMUSG00000001270",29.5440397174439
"ENSMUSG00000001280",9.92308187763253
"ENSMUSG00000001281",0.833428679061372
"ENSMUSG00000001285",6.19572035458732
"ENSMUSG00000001288",4.06783814620981
"ENSMUSG00000001289",50.9755663558106
"ENSMUSG00000001300",2.88344112487236
"ENSMUSG00000001305",1.88666142945354
"ENSMUSG00000001313",2.29782236180905
"ENSMUSG00000001323",20.9568041048246
"ENSMUSG00000001333",0
"ENSMUSG00000001334",0.738644
"ENSMUSG00000001348",27.3497634300493
"ENSMUSG00000001349",0.314605162646199
"ENSMUSG00000001366",13.6212945404447
"ENSMUSG00000001376",1.77471208327192
"ENSMUSG00000001380",15.4564194192889
"ENSMUSG00000001383",20.2047516643519
"ENSMUSG00000001403",0.350070395769231
"ENSMUSG00000001415",4.88608326293847
"ENSMUSG00000001416",10.8967933638933
"ENSMUSG00000001418",16.060764880941
"ENSMUSG00000001419",6.73871227401838
"ENSMUSG00000001420",0.992075927884615
"ENSMUSG00000001424",6.42232472440299
"ENSMUSG00000001435",20.7133264687366
"ENSMUSG00000001436",22.7425907820844
"ENSMUSG00000001440",22.7202251499241
"ENSMUSG00000001441",8.00323596294754
"ENSMUSG00000001444",0
"ENSMUSG00000001445",25.113319
"ENSMUSG00000001467",50.0936656389581
"ENSMUSG00000001472",35.9041950487941
"ENSMUSG00000001473",2.74723250348789
"ENSMUSG00000001482",26.3222862717786
"ENSMUSG00000001493",0.711751
"ENSMUSG00000001494",0.525713
"ENSMUSG00000001496",0
"ENSMUSG00000001497",0.165173553797468
"ENSMUSG00000001504",4.33030463741621
"ENSMUSG00000001506",0.65885796739296
"ENSMUSG00000001507",7.72399319404553
"ENSMUSG00000001508",0.405618817291066
"ENSMUSG00000001510",0
"ENSMUSG00000001517",0.312287935349322
"ENSMUSG00000001518",2.34935055510147
"ENSMUSG00000001520",0.566775239552835
"ENSMUSG00000001521",3.05208564440163
"ENSMUSG00000001524",1.92616654120133
"ENSMUSG00000001525",18.2994253537722
"ENSMUSG00000001542",6.07612346520147
"ENSMUSG00000001552",28.9986716670292
"ENSMUSG00000001555",0.818119925383305
"ENSMUSG00000001558",0
"ENSMUSG00000001566",0
"ENSMUSG00000001569",2.80447831748267
"ENSMUSG00000001576",8.58440561284879
"ENSMUSG00000001583",6.65960498648243
"ENSMUSG00000001588",0.537889605166052
"ENSMUSG00000001604",12.6001135635714
"ENSMUSG00000001622",0.524873538776493
"ENSMUSG00000001627",4.08881673420963
"ENSMUSG00000001630",3.54270086065574
"ENSMUSG00000001632",3.32291606933176
"ENSMUSG00000001642",2.02296332049141
"ENSMUSG00000001655",0
"ENSMUSG00000001656",0.317666
"ENSMUSG00000001657",1.02547260911017
"ENSMUSG00000001661",2.98923892275748
"ENSMUSG00000001663",70.9261292598167
"ENSMUSG00000001665",22.2028417756377
"ENSMUSG00000001666",81.1026821190168
"ENSMUSG00000001670",0
"ENSMUSG00000001672",4.7873844725944
"ENSMUSG00000001674",7.18306084414015
"ENSMUSG00000001687",11.6399346279328
"ENSMUSG00000001700",4.60567345412925
"ENSMUSG00000001707",2.4769164009825
"ENSMUSG00000001729",16.7241631610542
"ENSMUSG00000001739",8.96514152354049
"ENSMUSG00000001741",0.794053466624285
"ENSMUSG00000001750",3.96638621681512
"ENSMUSG00000001751",14.0405733032355
"ENSMUSG00000001755",34.3085768733868
"ENSMUSG00000001761",9.57071368261875
"ENSMUSG00000001763",7.20186348026949
"ENSMUSG00000001767",3.89408208324662
"ENSMUSG00000001768",6.1469228806672
"ENSMUSG00000001773",75.825206835514
"ENSMUSG00000001774",3.29591297119232
"ENSMUSG00000001783",35.7723729338432
"ENSMUSG00000001785",5.22902728653977
"ENSMUSG00000001786",10.7674728177994
"ENSMUSG00000001794",71.8047163415422
"ENSMUSG00000001802",5.19949117170213
"ENSMUSG00000001804",0
"ENSMUSG00000001815",0
"ENSMUSG00000001819",0
"ENSMUSG00000001823",0
"ENSMUSG00000001827",72.1281417113626
"ENSMUSG00000001829",5.59566401455823
"ENSMUSG00000001833",3.81056223600722
"ENSMUSG00000001844",9.77728849406425
"ENSMUSG00000001847",40.2658600449288
"ENSMUSG00000001855",5.79533890247438
"ENSMUSG00000001864",44.9717374957837
"ENSMUSG00000001865",0.126802305207647
"ENSMUSG00000001870",1.28812802198111
"ENSMUSG00000001891",48.951145103291
"ENSMUSG00000001901",0
"ENSMUSG00000001909",4.94774891690454
"ENSMUSG00000001910",20.8635002865397
"ENSMUSG00000001911",5.21059012433682
"ENSMUSG00000001918",9.57504398921639
"ENSMUSG00000001924",42.5519352608425
"ENSMUSG00000001930",0.152005951693227
"ENSMUSG00000001942",3.19406590082881
"ENSMUSG00000001943",1.66360267609904
"ENSMUSG00000001946",9.06586391907918
"ENSMUSG00000001948",2.58019545617342
"ENSMUSG00000001962",11.1369557246504
"ENSMUSG00000001964",9.50985625069527
"ENSMUSG00000001983",12.137946
"ENSMUSG00000001985",0.33411
"ENSMUSG00000001986",0.530602171011259
"ENSMUSG00000001988",0
"ENSMUSG00000001995",1.36430673266091
"ENSMUSG00000001998",1.62215960295617
"ENSMUSG00000001999",16.6097601144726
"ENSMUSG00000002006",0.352541
"ENSMUSG00000002007",0.395262631465517
"ENSMUSG00000002010",53.4985217164013
"ENSMUSG00000002012",0
"ENSMUSG00000002014",9.12910633624031
"ENSMUSG00000002015",68.664192
"ENSMUSG00000002017",7.22182519276094
"ENSMUSG00000002020",0
"ENSMUSG00000002028",6.16416880491902
"ENSMUSG00000002031",6.85794783073566
"ENSMUSG00000002032",7.34177952428394
"ENSMUSG00000002033",0
"ENSMUSG00000002043",4.63632925110132
"ENSMUSG00000002052",12.4707708899225
"ENSMUSG00000002055",0.274877029338549
"ENSMUSG00000002057",0
"ENSMUSG00000002058",0.356475121323529
"ENSMUSG00000002059",17.4182986419287
"ENSMUSG00000002064",25.8897114349835
"ENSMUSG00000002068",0
"ENSMUSG00000002076",1.44449380607412
"ENSMUSG00000002083",0.452821031073446
"ENSMUSG00000002100",0
"ENSMUSG00000002102",35.7765946152666
"ENSMUSG00000002103",10.4445040428076
"ENSMUSG00000002104",0.20698612763596
"ENSMUSG00000002105",6.70595418217293
"ENSMUSG00000002107",0.155653117872044
"ENSMUSG00000002108",12.8675147940358
"ENSMUSG00000002109",3.28598739912281
"ENSMUSG00000002111",1.59794095213358
"ENSMUSG00000002129",7.01698234553441
"ENSMUSG00000002147",17.6744489175375
"ENSMUSG00000002190",0
"ENSMUSG00000002204",1401.9382223609
"ENSMUSG00000002205",4.06220773932384
