ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000066152"	"Slc31a2"	chr4	+	62295886	62296076	62292631	62292698	62296974	62297355	0	5,10,2,3,6,6	0,0,0,0,0,0	3,3,3,6,5,8	0,0,0,0,0,1	286	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.729	0.045
1	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46585704	46585803	46582806	46582977	46587934	46588010	1	15,15,14,15,14,13	0,0,0,0,0,0	5,3,8,8,8,6	0,1,0,0,0,0	195	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.596,1.0,1.0,1.0,1.0	0.067
3	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46589553	46589746	46588223	46588309	46590140	46590201	3	1,1,0,1,1,3	4,4,2,6,5,4	0,2,0,1,1,0	1,3,2,0,1,0	289	96	1	1.0	0.077,0.077,0.0,0.052,0.062,0.199	0.0,0.181,0.0,1.0,0.249,NA	-0.208
7	"ENSMUSG00000038708"	"Golga4"	chr9	+	118519085	118519184	118514179	118514269	118522517	118522583	7	0,1,0,2,0,1	6,6,3,0,3,5	3,2,0,0,3,0	5,0,9,9,3,13	195	96	0.277443310764	1.0	0.0,0.076,0.0,1.0,0.0,0.09	0.228,1.0,0.0,0.0,0.33,0.0	-0.065
8	"ENSMUSG00000038708"	"Golga4"	chr9	+	118537241	118537325	118536758	118536943	118538876	118539024	8	16,16,11,11,3,15	0,7,0,0,4,1	14,1,6,7,12,15	1,2,1,0,0,2	180	96	0.0711171269467	1.0	1.0,0.549,1.0,1.0,0.286,0.889	0.882,0.211,0.762,1.0,1.0,0.8	0.011
9	"ENSMUSG00000038708"	"Golga4"	chr9	+	118548034	118548169	118538876	118539024	118548622	118548801	9	0,1,0,0,0,0	12,11,8,9,5,11	0,0,0,0,0,1	7,9,12,13,13,21	231	96	1	1.0	0.0,0.036,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.019	0.003
10	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566907	118566979	118565556	118565667	118568963	118569039	10	0,0,0,0,0,0	0,0,0,1,0,0	0,0,1,0,0,0	1,0,0,0,0,0	168	96	1	1.0	NA,NA,NA,0.0,NA,NA	0.0,NA,1.0,NA,NA,NA	-0.5
11	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566958	118566979	118565275	118565667	118568963	118569039	11	0,7,1,1,0,4	0,0,0,1,0,0	2,5,5,10,3,2	1,0,0,0,0,0	117	96	1	1.0	NA,1.0,1.0,0.451,NA,1.0	0.621,1.0,1.0,1.0,1.0,1.0	-0.074
12	"ENSMUSG00000038708"	"Golga4"	chr9	+	118567180	118567249	118566958	118566979	118568963	118569039	12	18,42,21,13,29,21	0,0,0,0,0,1	21,23,16,31,26,14	0,0,0,0,0,0	165	96	1	1.0	1.0,1.0,1.0,1.0,1.0,0.924	1.0,1.0,1.0,1.0,1.0,1.0	-0.013
13	"ENSMUSG00000038708"	"Golga4"	chr9	+	118567190	118567249	118566907	118566979	118568963	118569039	13	15,16,12,3,12,7	0,0,0,0,0,1	9,12,5,12,11,5	0,0,0,0,0,0	155	96	1	1.0	1.0,1.0,1.0,1.0,1.0,0.813	1.0,1.0,1.0,1.0,1.0,1.0	-0.031
14	"ENSMUSG00000038708"	"Golga4"	chr9	+	118576222	118576356	118572917	118573021	118577141	118577228	14	3,3,0,0,0,1	8,27,9,12,6,17	0,0,0,2,1,3	12,12,16,15,19,24	230	96	1	1.0	0.135,0.044,0.0,0.0,0.0,0.024	0.0,0.0,0.0,0.053,0.021,0.05	0.013
15	"ENSMUSG00000038708"	"Golga4"	chr9	+	118579541	118579606	118577141	118577228	118581848	118582519	15	0,0,1,1,0,1	19,23,9,9,15,18	0,0,2,0,3,0	8,15,17,27,17,16	161	96	1	1.0	0.0,0.0,0.062,0.062,0.0,0.032	0.0,0.0,0.066,0.0,0.095,0.0	-0.001
17	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58534484	58534652	58527020	58530259	58535389	58535549	17	0,1,0,0,0,1	4,4,1,0,0,2	1,0,0,1,0,0	6,0,7,5,0,11	264	96	1	1.0	0.0,0.083,0.0,NA,NA,0.154	0.057,NA,0.0,0.068,NA,0.0	0.028
19	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58562639	58562787	58557976	58558057	58565856	58565954	19	0,1,0,0,0,0	0,1,1,0,1,1	0,0,0,1,0,0	0,5,0,7,0,1	244	96	1	1.0	NA,0.282,0.0,NA,0.0,0.0	NA,0.0,NA,0.053,NA,0.0	0.053
23	"ENSMUSG00000037348"	"Paqr7"	chr4	+	134500599	134500683	134496974	134497036	134506802	134507546	23	2,0,3,1,1,2	0,0,0,0,0,0	5,2,12,17,17,22	0,0,0,0,0,3	180	96	1	1.0	1.0,NA,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.796	0.034
25	"ENSMUSG00000037348"	"Paqr7"	chr4	+	134506522	134506717	134496974	134497036	134506802	134507215	25	0,5,0,0,1,1	0,0,0,0,0,0	2,0,4,3,7,6	0,0,0,0,0,3	291	96	1	1.0	NA,1.0,NA,NA,1.0,1.0	1.0,NA,1.0,1.0,1.0,0.398	0.12
26	"ENSMUSG00000037348"	"Paqr7"	chr4	+	134506522	134506717	134500599	134500683	134506802	134507215	26	0,5,0,0,2,1	2,0,3,1,1,2	2,0,4,4,7,7	5,2,13,17,17,22	291	96	0.205841179146	1.0	0.0,1.0,0.0,0.0,0.398,0.142	0.117,0.0,0.092,0.072,0.12,0.095	0.174
27	"ENSMUSG00000037348"	"Paqr7"	chr4	+	134506680	134506717	134500599	134500683	134506802	134506995	27	0,1,0,0,0,0	2,0,3,1,1,2	0,0,0,3,1,2	5,2,13,17,17,22	133	96	1	1.0	0.0,1.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.113,0.041,0.062	0.131
30	"ENSMUSG00000051705"	"Senp8"	chr9	-	59739939	59740032	59734452	59737868	59750577	59750638	30	0,0,0,0,1,1	0,1,0,0,1,0	0,5,0,0,0,0	0,1,0,0,0,0	189	96	1	1.0	NA,0.0,NA,NA,0.337,1.0	NA,0.717,NA,NA,NA,NA	-0.271
32	"ENSMUSG00000051705"	"Senp8"	chr9	-	59739939	59740051	59737261	59737868	59750577	59750622	32	0,0,0,0,1,0	0,1,0,0,1,0	0,4,0,0,0,0	0,1,0,0,0,0	208	96	1	1.0	NA,0.0,NA,NA,0.316,NA	NA,0.649,NA,NA,NA,NA	-0.491
33	"ENSMUSG00000051705"	"Senp8"	chr9	-	59750261	59750371	59734258	59737868	59750577	59750627	33	0,0,0,1,0,0	0,1,0,0,1,0	0,0,0,0,0,0	0,1,0,0,0,0	206	96	1	1.0	NA,0.0,NA,1.0,0.0,NA	NA,0.0,NA,NA,NA,NA	0.333
34	"ENSMUSG00000051705"	"Senp8"	chr9	-	59750261	59750371	59739939	59740032	59750577	59750627	34	0,0,0,1,0,0	0,0,0,0,0,1	0,0,0,0,0,0	0,1,0,0,0,0	206	96	1	1.0	NA,NA,NA,1.0,NA,0.0	NA,0.0,NA,NA,NA,NA	0.5
38	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100809083	100809279	100806533	100806760	100811305	100811435	38	23,38,21,27,15,25	0,0,0,0,0,0	32,59,45,50,29,47	0,0,0,0,0,1	292	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.939	0.01
40	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100824915	100825001	100821118	100821206	100828899	100829022	40	3,11,3,6,6,10	0,1,0,0,0,0	7,15,15,19,18,15	0,0,0,0,0,0	182	96	1	1.0	1.0,0.853,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.025
41	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100826451	100826518	100824915	100825001	100828899	100829022	41	7,9,1,4,4,12	0,1,0,0,0,0	21,21,21,28,14,19	0,1,0,1,0,1	163	96	1	1.0	1.0,0.841,1.0,1.0,1.0,1.0	1.0,0.925,1.0,0.943,1.0,0.918	0.009
