ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519002	43519078	2	0,1,0,0,0,2	2,6,0,3,0,1	0,1,1,1,0,1	2,5,5,1,2,4	634	96	1	1.0	0.0,0.025,NA,0.0,NA,0.232	0.0,0.029,0.029,0.132,0.0,0.036	0.027
4	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711702	120711895	120711702	120711756	120711843	120711895	4	1,4,2,1,0,1	12,20,2,0,7,16	1,3,1,2,1,0	3,12,9,18,12,14	183	96	0.421416252211	1.0	0.042,0.095,0.344,1.0,0.0,0.032	0.149,0.116,0.055,0.055,0.042,0.0	0.183
9	"ENSMUSG00000021670"	"Hmgcr"	chr13	-	96664761	96665897	96664761	96664846	96665809	96665897	9	0,1,0,1,1,1	4,1,1,2,2,2	1,0,1,0,0,0	2,2,4,1,0,3	1059	96	1	1.0	0.0,0.083,0.0,0.043,0.043,0.043	0.043,0.0,0.022,0.0,NA,0.0	0.022
10	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48488700	48490938	48488700	48489988	48490847	48490938	10	1,5,1,1,3,4	8,18,3,22,8,20	6,5,4,9,3,6	6,5,8,11,11,10	955	96	0.00018612403584	0.0133492294594	0.012,0.027,0.032,0.005,0.036,0.02	0.091,0.091,0.048,0.076,0.027,0.057	-0.043
11	"ENSMUSG00000025474"	"Tubgcp2"	chr7	-	140004798	140005450	140004798	140004979	140005269	140005450	11	1,2,0,0,1,0	5,1,2,0,0,1	2,0,0,1,0,0	5,0,0,2,1,2	386	96	1	1.0	0.047,0.332,0.0,NA,1.0,0.0	0.09,NA,NA,0.111,0.0,0.0	0.226
13	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127328093	127328524	127328093	127328147	127328389	127328524	13	1,0,1,0,0,0	2,0,0,0,0,0	0,0,0,0,0,1	0,0,0,1,1,0	338	96	1	1.0	0.124,NA,1.0,NA,NA,NA	NA,NA,NA,0.0,0.0,1.0	0.229
16	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124886682	124886946	124886682	124886779	124886852	124886946	16	0,1,1,0,0,1	16,14,6,16,8,13	0,2,0,1,2,2	13,20,10,32,14,30	169	96	1	1.0	0.0,0.039,0.086,0.0,0.0,0.042	0.0,0.054,0.0,0.017,0.075,0.036	-0.003
17	"ENSMUSG00000030795"	"Fus"	chr7	+	127972553	127975920	127972553	127972770	127975887	127975920	17	243,345,166,219,222,300	1,2,0,0,1,2	148,178,139,178,174,248	3,1,1,2,0,2	3213	96	0.0571458032069	0.816615847006	0.879,0.838,1.0,1.0,0.869,0.818	0.596,0.842,0.806,0.727,1.0,0.787	0.108
18	"ENSMUSG00000022617"	"Chkb"	chr15	-	89428133	89428827	89428133	89428229	89428410	89428827	18	2,2,3,2,0,4	6,6,14,9,4,8	1,1,1,3,1,5	3,10,6,6,9,15	277	96	0.797368574123	1.0	0.104,0.104,0.069,0.072,0.0,0.148	0.104,0.033,0.055,0.148,0.037,0.104	0.003
19	"ENSMUSG00000022617"	"Chkb"	chr15	-	89428410	89428827	89428410	89428544	89428713	89428827	19	9,11,8,16,6,9	1,1,0,4,0,2	5,8,8,7,7,13	7,0,2,3,1,2	265	96	0.0455431168469	0.730387128563	0.765,0.799,1.0,0.592,1.0,0.62	0.206,1.0,0.592,0.458,0.717,0.702	0.184
20	"ENSMUSG00000022617"	"Chkb"	chr15	-	89428410	89428827	89428410	89428578	89428713	89428827	20	9,10,8,15,6,8	0,0,0,0,0,0	5,7,8,7,7,13	0,1,0,0,0,0	231	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.744,1.0,1.0,1.0,1.0	0.043
21	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119346568	119344465	119344508	119346469	119346568	21	21,34,11,21,17,29	16,36,15,46,26,25	34,32,24,51,17,30	20,22,27,37,27,49	2057	96	0.131934493626	1.0	0.058,0.042,0.033,0.021,0.03,0.051	0.074,0.064,0.04,0.06,0.029,0.028	-0.01
22	"ENSMUSG00000020883"	"Fbxl20"	chr11	-	98095132	98097059	98095132	98095193	98096928	98097059	22	16,22,15,17,16,17	2,3,1,4,0,3	7,11,8,9,19,16	2,2,0,7,2,5	1831	96	0.274461829978	1.0	0.295,0.278,0.44,0.182,1.0,0.229	0.155,0.224,1.0,0.063,0.332,0.144	0.084
23	"ENSMUSG00000020486"	"Sept4"	chr11	+	87583317	87584014	87583317	87583614	87583920	87584014	23	1,3,1,1,0,0	0,0,0,0,0,0	0,1,0,0,1,0	0,0,0,0,1,1	402	96	1	1.0	1.0,1.0,1.0,1.0,NA,NA	NA,1.0,NA,NA,0.193,0.0	0.602
