ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100826451	100826518	100828899	100829022	100824915	100825001	100833100	100833340	0	8,12,3,7,3,5	5,1,1,2,1,4	15,17,11,22,11,16	9,11,7,11,6,9	219	163	0.108236399549	0.63386977418	0.544,0.899,0.691,0.723,0.691,0.482	0.554,0.535,0.539,0.598,0.577,0.57	0.109
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43519002	43519078	43518401	43518464	43519226	43519297	2	2,6,4,4,5,5	0,0,0,0,2,2	3,10,5,3,5,5	0,1,1,1,0,1	172	172	1	1.0	1.0,1.0,1.0,1.0,0.714,0.714	1.0,0.909,0.833,0.75,1.0,0.833	0.017
3	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144919840	144920079	144918650	144918794	144923905	144924031	3	31,28,26,30,27,25	105,137,98,137,94,122	11,18,16,29,9,32	96,132,100,137,65,105	371	335	0.0385070749598	0.41551805574	0.21,0.156,0.193,0.165,0.206,0.156	0.094,0.11,0.126,0.16,0.111,0.216	0.045
4	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144919840	144920079	144918650	144918794	144923905	144924031	4	72,96,62,81,71,67	105,137,98,137,94,122	44,69,66,87,31,62	96,132,100,137,65,105	216	335	0.185741601141	0.823335366596	0.515,0.521,0.495,0.478,0.539,0.46	0.415,0.448,0.506,0.496,0.425,0.478	0.04
5	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144923905	144924031	144919229	144919504	144927134	144927639	5	110,165,126,176,128,144	99,114,63,100,62,106	106,143,111,165,76,124	65,128,59,111,54,86	335	222	0.51732559741	1.0	0.424,0.49,0.57,0.538,0.578,0.474	0.519,0.425,0.555,0.496,0.483,0.489	0.018
6	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119344508	119346469	119346568	119344172	119344252	119347729	119347810	6	1,2,3,0,2,3	36,38,25,43,40,52	1,1,1,4,3,5	24,33,30,66,39,62	139	195	0.372798908671	1.0	0.038,0.069,0.144,0.0,0.066,0.075	0.055,0.041,0.045,0.078,0.097,0.102	-0.004
7	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119348920	119349100	119349353	119349409	119348580	119348771	119349491	119349637	7	1,8,0,7,3,9	23,33,14,34,28,33	1,5,7,7,3,6	12,25,24,42,29,51	276	152	0.693147621102	1.0	0.023,0.118,0.0,0.102,0.056,0.131	0.044,0.099,0.138,0.084,0.054,0.061	-0.008
8	"ENSMUSG00000022679"	"Mpv17l"	chr16	+	13944665	13944736	13946557	13946587	13940664	13941023	13946751	13949378	8	97,149,55,68,60,74	29,47,31,43,19,41	115,130,166,223,118,142	43,78,66,105,29,48	167	126	0.730544203862	1.0	0.716,0.705,0.572,0.544,0.704,0.577	0.669,0.557,0.655,0.616,0.754,0.691	-0.021
9	"ENSMUSG00000041890"	"Git2"	chr5	-	114739032	114739281	114743775	114743880	114733860	114733943	114745428	114745571	9	2,2,0,2,3,0	5,5,4,3,6,5	1,2,1,1,1,3	2,6,4,4,2,1	201	345	0.481483553893	1.0	0.407,0.407,0.0,0.534,0.462,0.0	0.462,0.364,0.3,0.3,0.462,0.837	-0.153
11	"ENSMUSG00000024789"	"Jak2"	chr19	+	29288673	29288801	29291166	29291301	29287900	29288087	29294855	29294943	11	7,14,2,5,4,4	6,12,4,7,5,8	4,6,2,5,6,11	2,3,2,3,0,2	224	231	0.00123729415512	0.0422733050531	0.546,0.546,0.34,0.424,0.452,0.34	0.673,0.673,0.508,0.632,1.0,0.85	-0.281
12	"ENSMUSG00000032952"	"Ap4b1"	chr3	+	103817759	103817843	103818803	103818907	103814824	103815321	103820253	103820461	12	4,5,0,3,3,1	0,1,3,2,1,1	3,5,4,3,2,3	1,3,1,2,1,1	180	200	0.589825615342	1.0	1.0,0.847,0.0,0.625,0.769,0.526	0.769,0.649,0.816,0.625,0.69,0.769	-0.092
14	"ENSMUSG00000030562"	"Nox4"	chr7	+	87323932	87323995	87338956	87339017	87323632	87323797	87360727	87360809	14	64,113,44,64,88,127	34,60,39,50,67,76	31,59,34,41,39,48	32,37,34,35,22,34	159	157	0.302588026085	1.0	0.65,0.65,0.527,0.558,0.565,0.623	0.489,0.612,0.497,0.536,0.636,0.582	0.037
18	"ENSMUSG00000027206"	"Cops2"	chr2	-	125834753	125834836	125836141	125836239	125833723	125833782	125839148	125839201	18	17,29,17,22,10,22	21,29,13,17,13,27	13,21,17,14,20,23	7,26,15,25,4,23	194	179	0.469582729119	1.0	0.428,0.48,0.547,0.544,0.415,0.429	0.631,0.427,0.511,0.341,0.822,0.48	-0.061
19	"ENSMUSG00000063145"	"Bbs5"	chr2	+	69661035	69661098	69663025	69663160	69656896	69656992	69665025	69665109	19	1,0,1,0,2,0	0,5,2,4,1,4	0,1,0,0,2,2	3,1,1,1,4,1	159	231	0.914180608421	1.0	1.0,0.0,0.421,0.0,0.744,0.0	0.0,0.592,0.0,0.0,0.421,0.744	0.068
21	"ENSMUSG00000037519"	"Ppfia1"	chr7	-	144515985	144516120	144517599	144517746	144514440	144514524	144519148	144519367	21	9,7,3,2,2,12	8,7,5,2,4,4	8,4,4,11,11,11	0,2,3,7,5,5	243	231	0.0613304436625	0.475182092914	0.517,0.487,0.363,0.487,0.322,0.74	1.0,0.655,0.559,0.599,0.677,0.677	-0.208
22	"ENSMUSG00000066568"	"Lsm14a"	chr7	-	34357765	34357942	34365614	34365737	34357433	34357496	34371054	34371184	22	8,24,17,28,14,24	14,21,10,7,18,20	15,20,16,19,18,27	12,10,12,19,6,24	219	273	0.675487600473	1.0	0.416,0.588,0.679,0.833,0.492,0.599	0.609,0.714,0.624,0.555,0.789,0.584	-0.045
24	"ENSMUSG00000043940"	"Wdfy3"	chr5	-	101981378	101981589	102009788	102009887	101968868	101968992	102041654	102041743	24	5,6,3,4,4,6	6,5,5,2,4,10	2,3,4,5,2,3	1,0,2,8,6,9	195	307	0.880550913926	1.0	0.567,0.654,0.486,0.759,0.612,0.486	0.759,1.0,0.759,0.496,0.344,0.344	-0.023
25	"ENSMUSG00000026159"	"Agfg1"	chr1	+	82876170	82876324	82880007	82880127	82875287	82875450	82882227	82882437	25	10,15,4,7,7,16	9,14,4,5,5,4	14,18,9,11,10,20	16,17,13,23,7,22	250	216	0.0640051669381	0.47977856843	0.49,0.481,0.464,0.547,0.547,0.776	0.431,0.478,0.374,0.292,0.552,0.44	0.123
26	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67031950	67032026	67032465	67032541	67031451	67031514	67032793	67032864	26	24,25,9,13,3,13	9,23,5,5,7,8	15,18,11,22,14,18	11,15,9,13,6,14	172	172	0.814495289562	1.0	0.727,0.521,0.643,0.722,0.3,0.619	0.577,0.545,0.55,0.629,0.7,0.563	-0.005
27	"ENSMUSG00000021884"	"Hacl1"	chr14	-	31616359	31616514	31618971	31619073	31615362	31615521	31619844	31619928	27	22,23,11,33,15,21	22,44,27,33,21,36	4,12,6,10,5,11	12,21,8,14,17,15	198	251	0.366262283621	1.0	0.559,0.399,0.341,0.559,0.475,0.425	0.297,0.42,0.487,0.475,0.272,0.482	0.054
28	"ENSMUSG00000021884"	"Hacl1"	chr14	-	31630960	31631038	31632895	31632968	31630032	31630127	31634198	31634279	28	19,20,6,10,11,16	17,22,12,17,19,17	4,6,4,12,6,6	11,9,3,7,7,5	169	174	0.660131842285	1.0	0.535,0.483,0.34,0.377,0.373,0.492	0.272,0.407,0.579,0.638,0.469,0.553	-0.053
29	"ENSMUSG00000021884"	"Hacl1"	chr14	-	31632895	31632968	31634198	31634279	31630960	31631038	31635743	31635784	29	3,5,5,14,13,15	18,17,15,11,16,22	9,8,6,11,3,9	6,7,6,8,11,15	177	169	0.148597937609	0.748673762161	0.137,0.219,0.241,0.549,0.437,0.394	0.589,0.522,0.488,0.568,0.207,0.364	-0.127
