ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566907	118566979	118566958	118566979	118565556	118565667	0	0,2,0,1,1,3	0,24,5,9,13,14	1,0,2,1,0,0	14,12,11,26,12,9	147	96	1	1.0	NA,0.052,0.0,0.068,0.048,0.123	0.045,0.0,0.106,0.025,0.0,0.0	0.029
7	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43514710	43516003	43514710	43514861	43518229	43518299	7	3,7,2,2,3,5	3,11,1,0,1,9	3,5,5,3,4,9	2,5,3,1,1,4	1238	96	0.396700084646	1.0	0.072,0.047,0.134,1.0,0.189,0.041	0.104,0.072,0.114,0.189,0.237,0.149	0.103
10	"ENSMUSG00000022838"	"Eaf2"	chr16	-	36800586	36800844	36800586	36800702	36808014	36808160	10	18,31,5,6,9,5	2,0,1,1,0,0	8,11,3,5,5,6	0,0,0,0,2,0	238	96	1	1.0	0.784,1.0,0.669,0.708,1.0,1.0	1.0,1.0,1.0,1.0,0.502,1.0	-0.057
13	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144919384	144919504	144918650	144918794	13	5,8,6,6,6,8	46,76,42,57,50,50	1,4,5,7,0,7	34,55,55,65,22,37	251	96	0.163270898086	1.0	0.04,0.039,0.052,0.039,0.044,0.058	0.011,0.027,0.034,0.04,0.0,0.067	0.015
14	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75725258	75725404	75725258	75725385	75725548	75725755	14	2,5,3,1,1,5	0,0,0,0,0,0	3,6,5,5,6,4	0,0,0,0,0,1	115	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.77	0.038
17	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48488700	48490938	48488700	48489988	48493406	48493494	17	11,20,4,11,16,19	0,1,1,0,4,1	13,14,22,33,16,16	0,0,1,0,0,0	1046	96	0.0183274186124	0.545062189901	1.0,0.647,0.269,1.0,0.269,0.636	1.0,1.0,0.669,1.0,1.0,1.0	-0.308
24	"ENSMUSG00000030795"	"Fus"	chr7	+	127971837	127971982	127971840	127971982	127969716	127969871	24	18,19,19,15,10,7	2,12,6,11,4,5	6,8,4,16,18,23	8,8,10,4,12,14	99	96	0.0854751581191	1.0	0.897,0.606,0.754,0.569,0.708,0.576	0.421,0.492,0.279,0.795,0.593,0.614	0.153
25	"ENSMUSG00000022617"	"Chkb"	chr15	-	89427323	89427427	89427323	89427399	89427560	89427669	25	8,12,12,13,4,7	2,1,2,4,2,0	5,7,9,7,4,9	0,0,0,2,0,3	124	96	0.0094227371357	0.35373882034	0.756,0.903,0.823,0.716,0.608,1.0	1.0,1.0,1.0,0.73,1.0,0.699	-0.104
27	"ENSMUSG00000022617"	"Chkb"	chr15	-	89428410	89428578	89428410	89428544	89428713	89428827	27	0,1,0,1,0,1	1,1,0,4,0,2	0,2,0,0,0,0	7,0,2,3,1,2	130	96	1	1.0	0.0,0.425,NA,0.156,NA,0.27	0.0,1.0,0.0,0.0,0.0,0.0	0.046
29	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119346568	119346469	119346568	119344172	119344252	29	27,50,22,39,25,44	0,0,0,0,0,0	47,45,40,72,31,58	0,0,0,1,0,0	2100	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.767,1.0,1.0	0.039
